[2020-08-28 04:02:40.776] Starting up round ID .
 - -------------------------
[2020-08-28 04:13:33.535] Logs from logging subsystem:
 - (2020-08-28 01:11:41) ATTACK: *no key*/(coder monkey (863)) has suffered: Second Degree Burns to chest | Damage: 20(rolled 65/66.2891) | WB: -20 | BWB: 10 (Space (101, 64, 3))
 - (2020-08-28 01:11:41) ATTACK: *no key*/(coder monkey (863)) has been shot by the turret with the laser (Space (101, 64, 3))
 - (2020-08-28 01:11:43) ATTACK: [turret] has fired at *no key*/(coder monkey (863)) with [laser] from Space (NEWHP: 100)  (Syndicate Drop Ship (105, 63, 3))
 - (2020-08-28 01:11:43) ATTACK: *no key*/(coder monkey (863)) has been shot by the turret with the laser (Space (101, 64, 3))
 - (2020-08-28 01:11:45) ATTACK: [turret] has fired at *no key*/(coder monkey (863)) with [laser] from Space (NEWHP: 100)  (Syndicate Drop Ship (105, 63, 3))
 - (2020-08-28 01:11:45) ATTACK: *no key*/(coder monkey (863)) has been shot by the turret with the laser (Space (101, 64, 3))
 - (2020-08-28 01:11:47) ATTACK: [turret] has fired at *no key*/(coder monkey (863)) with [laser] from Space (NEWHP: 100)  (Syndicate Drop Ship (105, 63, 3))
 - (2020-08-28 01:11:47) ATTACK: *no key*/(coder monkey (863)) has been shot by the turret with the laser (Space (101, 64, 3))
 - (2020-08-28 01:11:49) ATTACK: [turret] has fired at *no key*/(coder monkey (863)) with [laser] from Space (NEWHP: 100)  (Syndicate Drop Ship (105, 63, 3))
 - (2020-08-28 01:11:49) ATTACK: *no key*/(coder monkey (863)) has been shot by the turret with the laser (Space (101, 64, 3))
 - (2020-08-28 01:11:51) ATTACK: [turret] has fired at *no key*/(coder monkey (863)) with [laser] from Space (NEWHP: 100)  (Syndicate Drop Ship (105, 63, 3))
 - (2020-08-28 01:11:51) ATTACK: *no key*/(coder monkey (863)) has been shot by the turret with the laser (Space (101, 64, 3))
 - (2020-08-28 01:11:53) ATTACK: [turret] has fired at *no key*/(coder monkey (863)) with [laser] from Space (NEWHP: 100)  (Syndicate Drop Ship (105, 63, 3))
 - (2020-08-28 01:11:53) ATTACK: *no key*/(coder monkey (863)) has been shot by the turret with the laser (Space (101, 64, 3))
 - (2020-08-28 01:11:55) ATTACK: [turret] has fired at *no key*/(coder monkey (863)) with [laser] from Space (NEWHP: 100)  (Syndicate Drop Ship (105, 63, 3))
 - (2020-08-28 01:11:55) ATTACK: *no key*/(coder monkey (863)) has been shot by the turret with the laser (Space (101, 64, 3))
 - (2020-08-28 01:11:56) ATTACK: *no key*/(Jo Jo Bobo Bo) has suffered: Second Degree Burns to left leg | Damage: 10.8(rolled 26/27.9765) (Unexplored Location (203, 119, 8))
 - (2020-08-28 01:11:57) ATTACK: [turret] has fired at *no key*/(coder monkey (863)) with [laser] from Space (NEWHP: 100)  (Syndicate Drop Ship (105, 63, 3))
 - (2020-08-28 01:11:57) ATTACK: *no key*/(coder monkey (863)) has been shot by the turret with the laser (Space (101, 64, 3))
 - (2020-08-28 01:11:59) ATTACK: [turret] has fired at *no key*/(coder monkey (863)) with [laser] from Space (NEWHP: 100)  (Syndicate Drop Ship (105, 63, 3))
 - (2020-08-28 01:11:59) ATTACK: *no key*/(coder monkey (863)) has been shot by the turret with the laser (Space (101, 64, 3))
 - (2020-08-28 01:12:01) ATTACK: [turret] has fired at *no key*/(coder monkey (863)) with [laser] from Space (NEWHP: 100)  (Syndicate Drop Ship (105, 63, 3))
